"PrecedingWeekToFollowingWeek","PrecedingWeekThursdayDate","PrecedingWeekThursdayOpen","PrecedingWeekThursdayHigh","PrecedingWeekThursdayLow","PrecedingWeekThursdayClose","PrecedingWeekThursdayVolume","PrecedingWeekThursdayDayOfTheWeek","PrecedingWeekFridayDate","PrecedingWeekFridayOpen","PrecedingWeekFridayHigh","PrecedingWeekFridayLow","PrecedingWeekFridayClose","PrecedingWeekFridayVolume","PrecedingWeekFridayDayOfTheWeek","Unnamed..15","PrecedingWeekFridayVolumeToPrecedingWeekThursdayVolumeRatio","FollowingWeekMondayDate","FollowingWeekMondayOpen","FollowingWeekMondayHigh","FollowingWeekMondayLow","FollowingWeekMondayClose","FollowingWeekMondayVolume","FollowingWeekMondayDayOfTheWeek","didFridayCloseHigherThanThursdayClose","FridayCloseComparedToThursdayCloseChangeInPercent","wasFridayIntradayPositive","FridayIntradayChangeInPercent","WasMondayOpenHigherThanFridayClose","MondayOpenComparedToFridayCloseChangeInPercent","MondayOpenToFridayCloseRatio","WasMondayCloseHigherThanFridayClose","MondayCloseComparedToFridayCloseChangeInPercent","fridayWasATripleWitchDay","NFPDayOrNot","NFPOutcome","CSIOutcome","CSIActualMinusExpected","CSIDayOrNot","wasItFOMCWeek","FOMCMeetingDate","FOMCAction","FOMCActualVSExpected","FOMCActionSpecial","PrecedingWeekFridayMonth","NFPOutcomeIsShock","CSIOutcomeIsShock","PrecedingWeekFridayVolumePrecedingWeekThursdayVolumeRATIO","Month","Monthclose","non_random_modelOPEN_predict","mixed_modelOPEN_predict","non_random_modelCLOSE_predict","mixed_modelCLOSE_predict"
"11/28/05 to 12/5/05","12/1/05",126.019997,127.029999,125.980003,126.690002,65468200,"Thursday","2005-12-02",126.769997,127.080002,126.5,126.849998,46699400,"Friday",NA,0.71331425,"12/5/05",126.699997,126.730003,126.18,126.580002,59273400,"Monday",1,0.126289365754365,1,0.063107204,0,-0.118250692,0.998817493,0,-0.212846673,0,0,"Upbeat","",0,0,0,"","","","","Dec",0,0,0.713314250277234,"Even","Even",0,0,1,1
"12/5/05 to 12/12/05","12/8/05",126.220001,126.82,125.480003,126,62608600,"Thursday","2005-12-09",126.160004,126.779999,125.82,126.330002,50744500,"Friday",NA,0.810503669,"12/12/05",126.709999,126.860001,125.959999,126.449997,48389900,"Monday",1,0.261906349206344,1,0.134747934852628,1,0.300797113895401,1.003007971,1,0.094985354,0,0,"Baseline","",0,0,0,"","","","","Dec",0,0,0.81050366882505,"Even","Even",0,0,1,1
"12/12/05 to 12/19/05","12/15/05",127.839996,128,127.18,127.440002,55900300,"Thursday","2005-12-16",127.279999,127.360001,126.360001,126.360001,46238300,"Friday",NA,0.827156563,"12/19/05",126.730003,126.870003,125.690002,125.709999,48733000,"Monday",0,-0.847458399,0,-0.722814273,1,0.292815762,1.002928158,0,-0.514404871,1,0,"Baseline","",0,0,0,"","","","","Dec",0,0,0.827156562666032,"Even","Even",1,1,0,0
"1/2/06 to 1/9/06","1/5/06",127.150002,127.589996,126.879997,127.379997,47307500,"Thursday","2006-01-06",128.020004,128.580002,127.360001,128.440002,62885900,"Friday",NA,1.329300851,"1/9/06",128.419998,129.059998,128.380005,128.770004,43527400,"Monday",1,0.832159699297206,1,0.328072165971806,0,-0.015574587,0.999844254,1,0.256930858658821,0,0,"Baseline","",0,0,0,"","","","","Jan",0,0,1.32930085081647,"Odd","Odd",0,0,1,1
"1/16/06 to 1/23/06","1/19/06",128.130005,128.770004,127.809998,128.309998,81530400,"Thursday","2006-01-20",128.279999,128.309998,125.970001,125.970001,114957800,"Friday",NA,1.409999215,"1/23/06",126.209999,126.82,126.129997,126.419998,67017400,"Monday",0,-1.823705897,0,-1.800746818,1,0.190519963558625,1.0019052,1,0.357225527052278,0,0,"Baseline","",0,0,0,"","","","","Jan",0,0,1.40999921501673,"Odd","Odd",1,1,1,1
"1/23/06 to 1/30/06","1/26/06",127.25,127.669998,126.760002,127.360001,71294000,"Thursday","2006-01-27",127.660004,128.660004,127.449997,128.539993,65771200,"Friday",NA,0.922534856,"1/30/06",128.440002,128.809998,128.350006,128.440002,33709600,"Monday",1,0.926501249006753,1,0.689322397326581,0,-0.077789797,0.999222102,0,-0.077789797,0,0,"Baseline","",0,0,0,"","","","","Jan",0,0,0.922534855668079,"Odd","Odd",1,0,1,1
"1/30/06 to 2/6/06","2/2/06",128.100006,128.139999,126.800003,126.900002,83626900,"Thursday","2006-02-03",126.580002,128.389999,126.139999,126.269997,86040400,"Friday",NA,1.028860331,"2/6/06",126.440002,126.800003,126.169998,126.599998,45511900,"Monday",0,-0.496457833,0,-0.244908354,1,0.1346361,1.001346361,1,0.261345535630286,0,0,"Baseline","",0,0,0,"","","","","Feb",0,0,1.02886033082656,"Even","Even",1,1,1,1
"2/6/06 to 2/13/06","2/9/06",126.919998,127.599998,126.370003,126.410004,62023300,"Thursday","2006-02-10",126.43,127.129997,125.449997,126.639999,64508700,"Friday",NA,1.040072037,"2/13/06",126.599998,126.790001,125.949997,126.410004,52308700,"Monday",1,0.181943669584887,1,0.166099027,0,-0.031586387,0.999684136,0,-0.181613236,0,0,"Baseline","",0,0,0,"","","","","Feb",0,0,1.04007203744399,"Even","Even",0,0,1,1
"2/20/06 to 2/27/06","2/23/06",129.270004,129.639999,128.279999,129.080002,43423200,"Thursday","2006-02-24",129.110001,129.479996,128.759995,129.410004,36777400,"Friday",NA,0.846952781,"2/27/06",129.399994,130.039993,129.279999,129.460007,35858600,"Monday",1,0.255656953,1,0.232362324898422,0,-0.007735105,0.999922649,1,0.038639208,0,0,"Baseline","",0,0,0,"","","","","Feb",0,0,0.846952781001861,"Even","Even",0,0,1,1
"2/27/06 to 3/6/06","3/2/06",128.899994,129.419998,128.610001,129.360001,60642300,"Thursday","2006-03-03",128.669998,130.070007,128.649994,128.759995,73402500,"Friday",NA,1.210417481,"3/6/06",129.139999,129.179993,127.849998,128.169998,57478400,"Monday",0,-0.463826527,1,0.069944044,1,0.295125826930939,1.002951258,0,-0.458214525,0,0,"Baseline","",0,0,0,"","","","","Mar",0,0,1.21041748086732,"Odd","Odd",1,1,1,1
"3/6/06 to 3/13/06","3/9/06",128.279999,128.679993,127.379997,127.379997,56313600,"Thursday","2006-03-10",127.709999,128.839996,127.440002,128.589996,60490800,"Friday",NA,1.074177463,"3/13/06",128.839996,129.160004,128.529999,128.830002,45479100,"Monday",1,0.949912881533519,1,0.689058810500826,1,0.194416368128668,1.001944164,1,0.186644379,0,0,"Baseline","",0,0,0,"","","","","Mar",0,0,1.07417746334811,"Odd","Odd",1,0,1,1
"3/13/06 to 3/20/06","3/16/06",131.009995,131.470001,130.839996,131.029999,65526400,"Thursday","2006-03-17",130.679993,130.899994,130.380005,130.619995,47286800,"Friday",NA,0.721645016,"3/20/06",130.639999,130.899994,130.210007,130.410004,45538500,"Monday",0,-0.312908497,0,-0.045912154,1,0.015314654,1.000153147,0,-0.16076482,1,0,"Baseline","",0,0,0,"","","","","Mar",0,0,0.721645016359818,"Odd","Odd",1,1,0,0
"3/20/06 to 3/27/06","3/23/06",130.259995,130.389999,129.660004,130.110001,46704200,"Thursday","2006-03-24",129.990005,130.570007,129.740005,130.210007,43209200,"Friday",NA,0.92516733,"3/27/06",130.029999,130.279999,129.740005,130.020004,32523000,"Monday",1,0.076862654,1,0.169245320053641,0,-0.138244367,0.998617556,0,-0.145920428,0,0,"Baseline","",0,0,0,"","","","","Mar",0,0,0.925167329704823,"Odd","Odd",0,0,1,1
"3/27/06 to 4/3/06","3/30/06",130.110001,130.979996,129.550003,129.800003,70571700,"Thursday","2006-03-31",130.020004,130.240005,129.369995,129.830002,62925600,"Friday",NA,0.89165487,"4/3/06",130.070007,130.869995,129.490005,129.729996,61624700,"Monday",1,0.02311171,0,-0.146132898,1,0.184860969192619,1.00184861,0,-0.077028421,0,0,"Baseline","",0,0,0,"","","","","Mar",0,0,0.891654870153333,"Odd","Odd",1,1,1,1
"4/3/06 to 4/10/06","4/6/06",130.850006,131.210007,130.190002,130.869995,57906200,"Thursday","2006-04-07",131.059998,131.399994,129.350006,129.539993,80180900,"Friday",NA,1.384668654,"4/10/06",129.740005,130.080002,129.259995,129.740005,41496500,"Monday",0,-1.01627726,0,-1.159777982,1,0.154401737539068,1.001544017,1,0.154401737539068,0,0,"Baseline","",0,0,0,"","","","","Apr",0,0,1.38466865378837,"Even","Even",1,1,1,1
"4/17/06 to 4/24/06","4/20/06",131,131.860001,130.600006,131.130005,86005500,"Thursday","2006-04-21",131.690002,131.789993,130.619995,131.149994,72342600,"Friday",NA,0.841139229,"4/24/06",130.889999,131.070007,130.380005,130.910004,52546400,"Monday",1,0.015243651,0,-0.410059983,0,-0.19824248,0.998017575,0,-0.182988952,0,0,"Baseline","",0,0,0,"","","","","Apr",0,0,0.841139229467883,"Even","Even",1,1,1,1
"4/24/06 to 5/1/06","4/27/06",129.899994,131.630005,129.589996,131.029999,124478600,"Thursday","2006-04-28",130.789993,131.75,130.710007,131.470001,55854400,"Friday",NA,0.448706846,"5/1/06",131.470001,131.800003,130.320007,130.399994,64990300,"Monday",1,0.335802490542637,1,0.519923569381938,0,0,1,0,-0.813879206,0,0,"Baseline","",0,0,0,"","","","","Apr",0,0,0.448706845996019,"Even","Even",0,1,1,1
"5/1/06 to 5/8/06","5/4/06",131.080002,131.619995,130.970001,131.360001,42921400,"Thursday","2006-05-05",132.050003,132.800003,131.850006,132.520004,62588200,"Friday",NA,1.458204998,"5/8/06",132.509995,132.770004,132.360001,132.360001,30016700,"Monday",1,0.88307170460511,1,0.355926534889966,0,-0.007552822,0.999924472,0,-0.120738753,0,0,"Baseline","",0,0,0,"","","","","May",0,0,1.45820499797304,"Odd","Even",0,0,1,1
"5/8/06 to 5/15/06","5/11/06",132.509995,132.550003,130.520004,130.949997,80626900,"Thursday","2006-05-12",130.360001,130.720001,129.190002,129.240005,91726500,"Friday",NA,1.137666213,"5/15/06",128.789993,129.740005,128.610001,129.5,84029300,"Monday",0,-1.305835845,0,-0.859156176,0,-0.348198687,0.996518013,1,0.201172229914417,0,0,"Baseline","",0,0,1,"5/10/06","Hike","Match","","May",0,0,1.1376662131373,"Odd","Even",1,1,1,1
"5/15/06 to 5/22/06","5/18/06",127.349998,127.75,126.110001,126.209999,87906300,"Thursday","2006-05-19",126.870003,127.489998,125.800003,127.099998,124309400,"Friday",NA,1.414112527,"5/22/06",126.279999,127.169998,125.5,126.129997,110852800,"Monday",1,0.705173129745452,1,0.181283987200664,0,-0.645160514,0.993548395,0,-0.763179398,0,0,"Baseline","",0,0,0,"","","","","May",0,0,1.41411252663347,"Odd","Even",0,0,1,1
"5/29/06 to 6/5/06","6/1/06",127.379997,128.940002,127.269997,128.729996,73721700,"Thursday","2006-06-02",129.25,129.429993,128.320007,129,91702600,"Friday",NA,1.243902406,"6/5/06",128.850006,128.860001,126.769997,127.120003,86105100,"Monday",1,0.209744432835996,0,-0.193423598,0,-0.116274419,0.998837256,0,-1.457362016,0,0,"Shock","",0,0,0,"","","","","Jun",1,0,1.24390240594018,"Even","Odd",1,1,0,0
"6/5/06 to 6/12/06","6/8/06",125.580002,126.5,123.870003,125.75,204957200,"Thursday","2006-06-09",126.360001,126.959999,125.290001,125.349998,94972200,"Friday",NA,0.463375768,"6/12/06",125.879997,125.93,123.82,123.989998,95815900,"Monday",0,-0.318093042,0,-0.799305945,1,0.422815324,1.004228153,0,-1.084962123,0,0,"Baseline","",0,0,0,"","","","","Jun",0,0,0.463375768209168,"Even","Odd",1,1,1,1
"6/12/06 to 6/19/06","6/15/06",123.949997,126.360001,123.860001,126.120003,134057000,"Thursday","2006-06-16",125.290001,125.559998,124.459999,124.650002,94253500,"Friday",NA,0.703085255,"6/19/06",125.400002,125.480003,123.550003,123.669998,95804400,"Monday",0,-1.165557378,0,-0.510814107,1,0.601684707554196,1.006016847,0,-0.78620456,1,0,"Baseline","",0,0,0,"","","","","Jun",0,0,0.703085254779683,"Even","Odd",1,1,0,0
"6/19/06 to 6/26/06","6/22/06",124.949997,125.059998,124.040001,124.459999,74566100,"Thursday","2006-06-23",124.330002,125.300003,124.029999,124.440002,54107000,"Friday",NA,0.725624647,"6/26/06",124.540001,125.059998,124.25,124.989998,37899600,"Monday",0,-0.01606701,1,0.08847422,1,0.080359208,1.000803592,1,0.441976849212838,0,0,"Baseline","",0,0,0,"","","","","Jun",0,0,0.725624647125168,"Even","Odd",1,1,1,1
"6/26/06 to 7/3/06","6/29/06",125.199997,127.349998,125.169998,127.269997,110634800,"Thursday","2006-06-30",127.540001,127.660004,126.959999,127.279999,54227800,"Friday",NA,0.490151381,"7/3/06",127.43,128.009995,127.309998,127.800003,23914000,"Monday",1,0.007858883,0,-0.20385918,1,0.117851195143396,1.001178512,1,0.408551229,0,0,"Baseline","",0,0,1,"6/29/06","Hike","Hawkish","","Jun",0,0,0.490151380939813,"Even","Odd",1,1,1,1
"7/3/06 to 7/10/06","7/6/06",127.199997,127.849998,127.080002,127.440002,50100300,"Thursday","2006-07-07",127.190002,127.559998,126.290001,126.610001,81626500,"Friday",NA,1.629261701,"7/10/06",126.940002,127.43,126.410004,126.849998,60964100,"Monday",0,-0.651287655,0,-0.456011472,1,0.260643706969096,1.002606437,1,0.189556115713167,0,0,"Baseline","",0,0,0,"","","","","Jul",0,0,1.62926170102774,"Even","Odd",1,1,1,1
"7/10/06 to 7/17/06","7/13/06",125.449997,125.68,124,124,102405700,"Thursday","2006-07-14",124.129997,124.260002,122.830002,123.519997,103242500,"Friday",NA,1.00817142,"7/17/06",123.519997,124.099998,123.150002,123.339996,81159000,"Monday",0,-0.387099194,0,-0.491420297,0,0,1,0,-0.145726202,0,0,"Baseline","",0,0,0,"","","","","Jul",0,0,1.00817142014556,"Even","Odd",1,1,1,1
"7/17/06 to 7/24/06","7/20/06",126.120003,126.300003,124.660004,124.830002,112259800,"Thursday","2006-07-21",125.150002,125.190002,123.82,123.949997,101560000,"Friday",NA,0.904687163,"7/24/06",124.440002,126.32,124.440002,126.209999,92884000,"Monday",0,-0.704962738,0,-0.958853361,1,0.395324737280962,1.003953247,1,1.82331751085077,0,0,"Baseline","",0,0,0,"","","","","Jul",0,0,0.904687163169719,"Even","Odd",1,1,1,1
"7/24/06 to 7/31/06","7/27/06",127.379997,127.690002,126.199997,126.709999,87257100,"Thursday","2006-07-28",127.040001,128.139999,126.860001,127.980003,82137000,"Friday",NA,0.94132168,"7/31/06",127.660004,127.959999,127.449997,127.849998,49593100,"Monday",1,1.00229185543597,1,0.739926001732315,0,-0.250038281,0.997499617,0,-0.101582276,0,0,"Baseline","",0,0,0,"","","","","Jul",0,0,0.941321680413399,"Even","Odd",1,1,1,1
"7/31/06 to 8/7/06","8/3/06",127.339996,128.550003,127.150002,128.419998,63693800,"Thursday","2006-08-04",129.080002,129.429993,127.480003,128.199997,96294200,"Friday",NA,1.511830037,"8/7/06",127.900002,128.080002,127.400002,127.900002,45377300,"Monday",0,-0.171313661,0,-0.681751616,0,-0.234005466,0.997659945,0,-0.234005466,0,0,"Baseline","",0,0,0,"","","","","Aug",0,0,1.51183003683247,"Even","Even",1,1,1,1
"8/7/06 to 8/14/06","8/10/06",126.580002,127.5,126.279999,127.370003,69322300,"Thursday","2006-08-11",127.169998,127.199997,126.389999,127.010002,47482200,"Friday",NA,0.684948422,"8/14/06",127.629997,128.160004,126.919998,127.110001,57839000,"Monday",0,-0.282641903,0,-0.125812694,1,0.488146594942974,1.004881466,1,0.078733169,0,0,"Baseline","",0,0,0,"","","","","Aug",0,0,0.684948422080629,"Even","Even",1,1,1,1
"8/14/06 to 8/21/06","8/17/06",129.580002,130.369995,129.490005,130.029999,70992800,"Thursday","2006-08-18",130.190002,130.690002,129.589996,130.690002,58288400,"Friday",NA,0.821046641,"8/21/06",130.179993,130.279999,129.800003,130.130005,42133600,"Monday",1,0.507577486023044,1,0.384054068913833,0,-0.390243318,0.996097567,0,-0.42849261,0,0,"Baseline","",0,0,0,"","","","","Aug",0,0,0.821046641349545,"Even","Even",0,0,1,1
"8/21/06 to 8/28/06","8/24/06",129.990005,130.100006,129.399994,129.649994,57983000,"Thursday","2006-08-25",129.639999,130.25,129.550003,129.809998,41756000,"Friday",NA,0.720142111,"8/28/06",129.649994,130.820007,129.639999,130.429993,52681500,"Monday",1,0.123412269498458,1,0.131131596198191,0,-0.123260151,0.998767398,1,0.477617294162495,0,0,"Baseline","",0,0,0,"","","","","Aug",0,0,0.72014211061863,"Even","Even",0,0,1,1
"9/4/06 to 9/11/06","9/7/06",130.059998,130.570007,129.350006,129.910004,86269400,"Thursday","2006-09-08",130.080002,130.460007,129.830002,130.279999,45096300,"Friday",NA,0.522738074,"9/11/06",129.860001,130.690002,129.479996,130.410004,68496600,"Monday",1,0.284808704955484,1,0.153749228878391,0,-0.322381028,0.99677619,1,0.099788917,0,0,"Baseline","",0,0,0,"","","","","Sep",0,0,0.522738073986837,"Even","Even",0,0,1,1
"9/11/06 to 9/18/06","9/14/06",131.960007,132.240005,131.75,132.229996,57805400,"Thursday","2006-09-15",132.309998,132.389999,131.679993,131.960007,76703100,"Friday",NA,1.326919284,"9/18/06",131.789993,132.389999,131.649994,132.139999,64154100,"Monday",0,-0.204181357,0,-0.264523472,0,-0.12883752,0.998711625,1,0.136398901524762,1,0,"Baseline","",0,0,0,"","","","","Sep",0,0,1.32691928435752,"Even","Even",1,1,0,0
"9/18/06 to 9/25/06","9/21/06",132.610001,132.75,131.419998,131.869995,88932500,"Thursday","2006-09-22",131.669998,131.679993,131,131.470001,65966800,"Friday",NA,0.741762573,"9/25/06",131.729996,132.850006,131.050003,132.479996,92299100,"Monday",0,-0.303324498,0,-0.151892613,1,0.197759943730436,1.001977599,1,0.76823229049797,0,0,"Baseline","",0,0,0,"","","","","Sep",0,0,0.741762572737751,"Even","Even",1,1,1,1
"9/25/06 to 10/2/06","9/28/06",133.740005,133.990005,133.279999,133.690002,58597500,"Thursday","2006-09-29",133.800003,133.940002,133.479996,133.580002,47966600,"Friday",NA,0.818577584,"10/2/06",133.539993,133.830002,132.949997,133.080002,51687400,"Monday",0,-0.0822799,0,-0.164425258,0,-0.02995134,0.999700487,0,-0.374307525,0,0,"Baseline","",0,0,0,"","","","","Sep",0,0,0.818577584367934,"Even","Even",1,1,1,1
"10/2/06 to 10/9/06","10/5/06",134.919998,135.410004,134.75,135.179993,60505900,"Thursday","2006-10-06",134.949997,135.100006,134.399994,135.009995,64983600,"Friday",NA,1.074004353,"10/9/06",134.850006,135.300003,134.639999,135.089996,41176800,"Monday",0,-0.125756775,1,0.04445943,0,-0.118501597,0.998814984,1,0.059255613,0,0,"Baseline","",0,0,0,"","","","","Oct",0,0,1.07400435329447,"Even","Even",1,1,1,1
"10/9/06 to 10/16/06","10/12/06",135.449997,136.389999,135.399994,136.279999,59158600,"Thursday","2006-10-13",136.160004,136.710007,136.039993,136.630005,53944000,"Friday",NA,0.911853898,"10/16/06",136.520004,137.050003,136.419998,136.839996,42273000,"Monday",1,0.256828590085334,1,0.345182862949993,0,-0.080510134,0.999194899,1,0.153693180352297,0,0,"Baseline","",0,0,0,"","","","","Oct",0,0,0.911853897827197,"Even","Even",0,0,1,1
"10/16/06 to 10/23/06","10/19/06",136.389999,136.880005,136.229996,136.809998,64063200,"Thursday","2006-10-20",136.839996,136.949997,136.330002,136.839996,48094500,"Friday",NA,0.750735211,"10/23/06",136.559998,137.800003,136.389999,137.470001,66219900,"Monday",1,0.02192676,0,0,0,-0.204617077,0.997953829,1,0.460395365694093,0,0,"Baseline","",0,0,0,"","","","","Oct",0,0,0.750735211478665,"Even","Even",1,1,1,1
"10/23/06 to 10/30/06","10/26/06",138.660004,139,137.979996,138.779999,66843700,"Thursday","2006-10-27",138.610001,138.75,137.630005,137.910004,80238000,"Friday",NA,1.200382385,"10/30/06",137.660004,138.199997,137.399994,137.809998,49717800,"Monday",0,-0.626887885,0,-0.5050119,0,-0.18127764,0.998187224,0,-0.072515406,0,0,"Baseline","",0,0,0,"","","","","Oct",0,0,1.20038238457775,"Even","Even",1,1,1,1
"10/30/06 to 11/6/06","11/2/06",136.509995,137.009995,136.360001,136.779999,60693100,"Thursday","2006-11-03",137.270004,137.389999,135.619995,136.539993,71346400,"Friday",NA,1.175527366,"11/6/06",136.960007,138.279999,136.949997,138.080002,63303300,"Monday",0,-0.175468637,0,-0.531806643,1,0.307612437038854,1.003076124,1,1.12788126479543,0,0,"Baseline","",0,0,0,"","","","","Nov",0,0,1.17552736637278,"Even","Even",1,1,1,1
"11/6/06 to 11/13/06","11/9/06",139.009995,139.139999,137.899994,138.179993,95916300,"Thursday","2006-11-10",138.139999,138.339996,137.720001,138.240005,48991500,"Friday",NA,0.510773456,"11/13/06",138.179993,139.039993,138.070007,138.580002,59398200,"Monday",1,0.04343031,1,0.072394673,0,-0.043411457,0.999565885,1,0.245946895039544,0,0,"Baseline","",0,0,0,"","","","","Nov",0,0,0.510773455606607,"Even","Even",0,0,1,1
"11/13/06 to 11/20/06","11/16/06",140.440002,140.679993,139.490005,140.380005,76728800,"Thursday","2006-11-17",139.929993,140.429993,139.729996,140.419998,56353800,"Friday",NA,0.734454338,"11/20/06",140.300003,140.740005,139.940002,140.5,69174200,"Monday",1,0.0284891,1,0.350178678276641,0,-0.085454352,0.999145456,1,0.056973366,0,0,"Baseline","",0,0,0,"","","","","Nov",0,0,0.734454337875739,"Even","Even",0,0,1,1
"11/27/06 to 12/4/06","11/30/06",140.440002,141.050003,139.759995,140.529999,83994300,"Thursday","2006-12-01",140.529999,140.660004,138.970001,140.220001,126080000,"Friday",NA,1.501054238,"12/4/06",140.25,141.550003,140.229996,141.289993,87813200,"Monday",0,-0.220592046,0,-0.220592046,1,0.021394237,1.000213942,1,0.763080867,0,0,"Baseline","",0,0,0,"","","","","Dec",0,0,1.50105423820426,"Even","Even",1,1,1,1
"12/4/06 to 12/11/06","12/7/06",142.029999,142.300003,141.110001,141.160004,62857400,"Thursday","2006-12-08",141.130005,141.899994,140.779999,141.419998,79625500,"Friday",NA,1.266764136,"12/11/06",141.419998,142.089996,141.339996,141.830002,39779400,"Monday",1,0.184183899569744,1,0.205479338004687,0,0,1,1,0.289919393154011,0,0,"Baseline","",0,0,0,"","","","","Dec",0,0,1.2667641359649,"Even","Even",0,0,1,1
"12/11/06 to 12/18/06","12/14/06",141.860001,143.240005,141.839996,143.119995,64755200,"Thursday","2006-12-15",142.639999,142.889999,142.240005,142.339996,70857400,"Friday",NA,1.094234903,"12/18/06",142.539993,142.880005,141.75,141.949997,48954600,"Monday",0,-0.544996525,0,-0.210321791,1,0.140506537600293,1.001405065,0,-0.273991156,1,0,"Baseline","",0,0,0,"","","","","Dec",0,0,1.09423490314291,"Even","Even",1,1,0,0
"1/1/07 to 1/8/07","1/4/07",141.229996,142.050003,140.610001,141.669998,69620600,"Thursday","2007-01-05",141.330002,141.399994,140.380005,140.539993,76645300,"Friday",NA,1.100899734,"1/8/07",140.820007,141.410004,140.25,141.190002,71655000,"Monday",0,-0.797631832,0,-0.558981808,1,0.199241507006475,1.001992415,1,0.462508205760323,0,0,"Baseline","",0,0,0,"","","","","Jan",0,0,1.10089973369951,"Odd","Odd",1,1,1,1
"1/15/07 to 1/22/07","1/18/07",143.169998,143.259995,142.309998,142.539993,68177300,"Thursday","2007-01-19",142.539993,143.100006,142.460007,142.820007,56973000,"Friday",NA,0.835659376,"1/22/07",143.070007,143.100006,141.929993,142.380005,60253600,"Monday",1,0.196445919567285,1,0.196445919567285,1,0.175045503253616,1.001750455,0,-0.308081486,0,0,"Baseline","",0,0,0,"","","","","Jan",0,0,0.83565937636134,"Odd","Odd",0,0,1,1
"1/22/07 to 1/29/07","1/25/07",143.860001,143.919998,142.009995,142.259995,73583800,"Thursday","2007-01-26",142.570007,142.649994,141.580002,142.130005,67255600,"Friday",NA,0.914000092,"1/29/07",142.190002,142.800003,141.740005,142.050003,66114600,"Monday",0,-0.09137495,0,-0.308621715,1,0.042212761,1.000422128,0,-0.056287903,0,0,"Baseline","",0,0,0,"","","","","Jan",0,0,0.914000092411645,"Odd","Odd",1,1,1,1
"1/29/07 to 2/5/07","2/1/07",144.149994,144.660004,143.910004,144.610001,69312400,"Thursday","2007-02-02",144.729996,144.949997,144.380005,144.809998,49607000,"Friday",NA,0.715701664,"2/5/07",144.699997,144.940002,144.339996,144.850006,45705300,"Monday",1,0.138300946419325,1,0.055276724,0,-0.075962296,0.999240377,1,0.027627927,0,0,"Baseline","",0,0,0,"","","","","Feb",0,0,0.715701663771562,"Even","Even",0,0,1,1
"2/5/07 to 2/12/07","2/8/07",144.779999,145.119995,144.270004,145.020004,70641000,"Thursday","2007-02-09",145.059998,145.330002,143.389999,143.940002,79084400,"Friday",NA,1.119525488,"2/12/07",143.940002,144.039993,143.190002,143.449997,65657000,"Monday",0,-0.744726224,0,-0.772091559,0,0,1,0,-0.340423088,0,0,"Baseline","",0,0,0,"","","","","Feb",0,0,1.11952548803103,"Even","Even",1,1,1,1
"2/19/07 to 2/26/07","2/22/07",146.050003,146.419998,145.169998,145.869995,79067400,"Thursday","2007-02-23",145.740005,145.789993,145.029999,145.300003,71966200,"Friday",NA,0.910188017,"2/26/07",145.830002,145.949997,144.75,145.169998,69192800,"Monday",0,-0.390753424,0,-0.301908868,1,0.364761864457775,1.003647619,0,-0.089473501,0,0,"Baseline","",0,0,0,"","","","","Feb",0,0,0.910188016805915,"Even","Even",1,1,1,1
"2/26/07 to 3/5/07","3/1/07",139.339996,141.25,138.050003,140.509995,212828600,"Thursday","2007-03-02",140.050003,140.660004,138.660004,138.669998,162574000,"Friday",NA,0.763872901,"3/5/07",137.929993,139.580002,137.330002,137.350006,143750400,"Monday",0,-1.309513249,0,-0.98536592,0,-0.533644632,0.994663554,0,-0.951894439,0,0,"Baseline","",0,0,0,"","","","","Mar",0,0,0.763872900540623,"Odd","Odd",1,1,1,1
"3/5/07 to 3/12/07","3/8/07",140.539993,141.160004,140.070007,140.740005,117891600,"Thursday","2007-03-09",141.309998,141.419998,140.080002,140.779999,107765100,"Friday",NA,0.914103295,"3/12/07",140.419998,141.339996,140.160004,140.990005,80366900,"Monday",1,0.028416938,0,-0.375061218,0,-0.255718854,0.997442811,1,0.149173179067854,0,0,"Baseline","",0,0,0,"","","","","Mar",0,0,0.914103294891239,"Odd","Odd",1,1,1,1
"3/12/07 to 3/19/07","3/15/07",138.970001,139.990005,138.800003,139.470001,132435900,"Thursday","2007-03-16",139.309998,139.630005,138.119995,138.529999,121531600,"Friday",NA,0.917663564,"3/19/07",139.259995,140.330002,139.149994,140.199997,96161200,"Monday",0,-0.673981497,0,-0.559901666,1,0.526958785295306,1.005269588,1,1.20551361586308,1,0,"Baseline","",0,0,0,"","","","","Mar",0,0,0.917663564033619,"Odd","Odd",1,1,0,0
"3/19/07 to 3/26/07","3/22/07",143.479996,143.679993,142.789993,143.179993,118942200,"Thursday","2007-03-23",143.279999,143.809998,143.149994,143.389999,74416800,"Friday",NA,0.62565515,"3/26/07",143.5,143.649994,142.089996,143.199997,113787500,"Monday",1,0.146672726824335,1,0.076772753,1,0.076714555,1.000767146,0,-0.132507149,0,0,"Baseline","",0,0,0,"","","","","Mar",0,0,0.62565515014856,"Odd","Odd",0,0,1,1
"3/26/07 to 4/2/07","3/29/07",142.539993,142.610001,141.190002,141.970001,139432700,"Thursday","2007-03-30",142.240005,142.839996,140.559998,142,128194100,"Friday",NA,0.919397674,"4/2/07",142.160004,142.460007,141.479996,142.160004,79416400,"Monday",1,0.02113052,0,-0.168732418,1,0.112678873239427,1.001126789,1,0.112678873239427,0,0,"Baseline","",0,0,0,"","","","","Mar",0,0,0.919397673572985,"Odd","Odd",1,1,1,1
